ID,Resume_str,Resume_html,Category
814,"Mechanical Engineer professional with 7 years of experience in CAD tools, SolidWorks, and manufacturing processes.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>CAD tools</i>, <i>SolidWorks</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
815,"Business Analyst professional with 1 years of experience in Power BI, client communication, and dashboard reporting.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>Power BI</i>, <i>client communication</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
816,"HR professional with 5 years of experience in recruitment, employee engagement, and HR policies.","<p>HR professional with <b>5 years</b> of experience in <i>recruitment</i>, <i>employee engagement</i>, and <i>HR policies</i>.</p>",HR
817,"Marketing professional with 5 years of experience in analytics, content creation, and SEM.","<p>Marketing professional with <b>5 years</b> of experience in <i>analytics</i>, <i>content creation</i>, and <i>SEM</i>.</p>",Marketing
818,"Business Analyst professional with 2 years of experience in SQL, Excel, and Power BI.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>SQL</i>, <i>Excel</i>, and <i>Power BI</i>.</p>",Business Analyst
819,"Marketing professional with 6 years of experience in social media, content creation, and analytics.","<p>Marketing professional with <b>6 years</b> of experience in <i>social media</i>, <i>content creation</i>, and <i>analytics</i>.</p>",Marketing
820,"Marketing professional with 3 years of experience in analytics, SEO, and SEM.","<p>Marketing professional with <b>3 years</b> of experience in <i>analytics</i>, <i>SEO</i>, and <i>SEM</i>.</p>",Marketing
821,"HR professional with 6 years of experience in recruitment, HR policies, and onboarding.","<p>HR professional with <b>6 years</b> of experience in <i>recruitment</i>, <i>HR policies</i>, and <i>onboarding</i>.</p>",HR
822,"Software Engineer professional with 6 years of experience in Python, data structures, and algorithms.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>Python</i>, <i>data structures</i>, and <i>algorithms</i>.</p>",Software Engineer
823,"Marketing professional with 4 years of experience in social media, SEO, and analytics.","<p>Marketing professional with <b>4 years</b> of experience in <i>social media</i>, <i>SEO</i>, and <i>analytics</i>.</p>",Marketing
824,"Mechanical Engineer professional with 2 years of experience in SolidWorks, thermodynamics, and CAD tools.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>SolidWorks</i>, <i>thermodynamics</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
825,"Software Engineer professional with 5 years of experience in Node.js, Java, and backend development.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>Node.js</i>, <i>Java</i>, and <i>backend development</i>.</p>",Software Engineer
826,"Mechanical Engineer professional with 3 years of experience in CAD tools, AutoCAD, and SolidWorks.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>CAD tools</i>, <i>AutoCAD</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
827,"Marketing professional with 6 years of experience in content creation, SEO, and analytics.","<p>Marketing professional with <b>6 years</b> of experience in <i>content creation</i>, <i>SEO</i>, and <i>analytics</i>.</p>",Marketing
828,"Business Analyst professional with 5 years of experience in Excel, Power BI, and dashboard reporting.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Excel</i>, <i>Power BI</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
829,"HR professional with 3 years of experience in talent acquisition, employee engagement, and conflict resolution.","<p>HR professional with <b>3 years</b> of experience in <i>talent acquisition</i>, <i>employee engagement</i>, and <i>conflict resolution</i>.</p>",HR
830,"Marketing professional with 4 years of experience in analytics, SEO, and content creation.","<p>Marketing professional with <b>4 years</b> of experience in <i>analytics</i>, <i>SEO</i>, and <i>content creation</i>.</p>",Marketing
831,"HR professional with 1 years of experience in employee engagement, talent acquisition, and recruitment.","<p>HR professional with <b>1 years</b> of experience in <i>employee engagement</i>, <i>talent acquisition</i>, and <i>recruitment</i>.</p>",HR
832,"Marketing professional with 4 years of experience in SEM, content creation, and social media.","<p>Marketing professional with <b>4 years</b> of experience in <i>SEM</i>, <i>content creation</i>, and <i>social media</i>.</p>",Marketing
833,"Software Engineer professional with 4 years of experience in data structures, algorithms, and Python.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>data structures</i>, <i>algorithms</i>, and <i>Python</i>.</p>",Software Engineer
834,"Mechanical Engineer professional with 4 years of experience in quality inspection, CAD tools, and AutoCAD.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>quality inspection</i>, <i>CAD tools</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
835,"Software Engineer professional with 5 years of experience in MongoDB, backend development, and Java.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>MongoDB</i>, <i>backend development</i>, and <i>Java</i>.</p>",Software Engineer
836,"Business Analyst professional with 4 years of experience in SQL, client communication, and data interpretation.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>SQL</i>, <i>client communication</i>, and <i>data interpretation</i>.</p>",Business Analyst
837,"Business Analyst professional with 4 years of experience in client communication, Excel, and Power BI.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>client communication</i>, <i>Excel</i>, and <i>Power BI</i>.</p>",Business Analyst
838,"Business Analyst professional with 5 years of experience in Excel, Power BI, and SQL.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Excel</i>, <i>Power BI</i>, and <i>SQL</i>.</p>",Business Analyst
839,"Software Engineer professional with 3 years of experience in MongoDB, backend development, and Python.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>MongoDB</i>, <i>backend development</i>, and <i>Python</i>.</p>",Software Engineer
840,"Business Analyst professional with 1 years of experience in Power BI, Excel, and SQL.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>Power BI</i>, <i>Excel</i>, and <i>SQL</i>.</p>",Business Analyst
841,"Business Analyst professional with 4 years of experience in dashboard reporting, Excel, and SQL.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>dashboard reporting</i>, <i>Excel</i>, and <i>SQL</i>.</p>",Business Analyst
842,"Business Analyst professional with 4 years of experience in Excel, dashboard reporting, and SQL.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>Excel</i>, <i>dashboard reporting</i>, and <i>SQL</i>.</p>",Business Analyst
843,"Marketing professional with 5 years of experience in content creation, analytics, and social media.","<p>Marketing professional with <b>5 years</b> of experience in <i>content creation</i>, <i>analytics</i>, and <i>social media</i>.</p>",Marketing
844,"Software Engineer professional with 6 years of experience in Java, algorithms, and MongoDB.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>Java</i>, <i>algorithms</i>, and <i>MongoDB</i>.</p>",Software Engineer
845,"HR professional with 1 years of experience in HR policies, conflict resolution, and recruitment.","<p>HR professional with <b>1 years</b> of experience in <i>HR policies</i>, <i>conflict resolution</i>, and <i>recruitment</i>.</p>",HR
846,"Business Analyst professional with 5 years of experience in Excel, dashboard reporting, and Power BI.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Excel</i>, <i>dashboard reporting</i>, and <i>Power BI</i>.</p>",Business Analyst
847,"Mechanical Engineer professional with 6 years of experience in thermodynamics, manufacturing processes, and quality inspection.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>thermodynamics</i>, <i>manufacturing processes</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
848,"Mechanical Engineer professional with 1 years of experience in manufacturing processes, quality inspection, and CAD tools.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>manufacturing processes</i>, <i>quality inspection</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
849,"Marketing professional with 6 years of experience in digital campaigns, social media, and SEO.","<p>Marketing professional with <b>6 years</b> of experience in <i>digital campaigns</i>, <i>social media</i>, and <i>SEO</i>.</p>",Marketing
850,"Mechanical Engineer professional with 7 years of experience in quality inspection, manufacturing processes, and SolidWorks.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>quality inspection</i>, <i>manufacturing processes</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
851,"Software Engineer professional with 5 years of experience in MongoDB, algorithms, and data structures.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>MongoDB</i>, <i>algorithms</i>, and <i>data structures</i>.</p>",Software Engineer
852,"Mechanical Engineer professional with 1 years of experience in manufacturing processes, thermodynamics, and AutoCAD.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>manufacturing processes</i>, <i>thermodynamics</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
853,"Software Engineer professional with 7 years of experience in data structures, algorithms, and MongoDB.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>data structures</i>, <i>algorithms</i>, and <i>MongoDB</i>.</p>",Software Engineer
854,"Mechanical Engineer professional with 6 years of experience in manufacturing processes, SolidWorks, and thermodynamics.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>manufacturing processes</i>, <i>SolidWorks</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
855,"Business Analyst professional with 4 years of experience in SQL, client communication, and Power BI.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>SQL</i>, <i>client communication</i>, and <i>Power BI</i>.</p>",Business Analyst
856,"Mechanical Engineer professional with 6 years of experience in CAD tools, manufacturing processes, and thermodynamics.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>CAD tools</i>, <i>manufacturing processes</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
857,"Marketing professional with 4 years of experience in SEO, content creation, and SEM.","<p>Marketing professional with <b>4 years</b> of experience in <i>SEO</i>, <i>content creation</i>, and <i>SEM</i>.</p>",Marketing
858,"HR professional with 6 years of experience in talent acquisition, employee engagement, and recruitment.","<p>HR professional with <b>6 years</b> of experience in <i>talent acquisition</i>, <i>employee engagement</i>, and <i>recruitment</i>.</p>",HR
859,"Marketing professional with 6 years of experience in digital campaigns, social media, and analytics.","<p>Marketing professional with <b>6 years</b> of experience in <i>digital campaigns</i>, <i>social media</i>, and <i>analytics</i>.</p>",Marketing
860,"HR professional with 6 years of experience in recruitment, employee engagement, and HR policies.","<p>HR professional with <b>6 years</b> of experience in <i>recruitment</i>, <i>employee engagement</i>, and <i>HR policies</i>.</p>",HR
861,"Software Engineer professional with 6 years of experience in algorithms, data structures, and Java.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>algorithms</i>, <i>data structures</i>, and <i>Java</i>.</p>",Software Engineer
862,"HR professional with 3 years of experience in conflict resolution, employee engagement, and recruitment.","<p>HR professional with <b>3 years</b> of experience in <i>conflict resolution</i>, <i>employee engagement</i>, and <i>recruitment</i>.</p>",HR
863,"HR professional with 3 years of experience in HR policies, employee engagement, and talent acquisition.","<p>HR professional with <b>3 years</b> of experience in <i>HR policies</i>, <i>employee engagement</i>, and <i>talent acquisition</i>.</p>",HR
864,"Software Engineer professional with 5 years of experience in Node.js, data structures, and Java.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>Node.js</i>, <i>data structures</i>, and <i>Java</i>.</p>",Software Engineer
865,"Mechanical Engineer professional with 7 years of experience in quality inspection, SolidWorks, and manufacturing processes.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>quality inspection</i>, <i>SolidWorks</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
866,"HR professional with 3 years of experience in onboarding, talent acquisition, and recruitment.","<p>HR professional with <b>3 years</b> of experience in <i>onboarding</i>, <i>talent acquisition</i>, and <i>recruitment</i>.</p>",HR
867,"Marketing professional with 2 years of experience in social media, SEM, and content creation.","<p>Marketing professional with <b>2 years</b> of experience in <i>social media</i>, <i>SEM</i>, and <i>content creation</i>.</p>",Marketing
868,"Marketing professional with 1 years of experience in digital campaigns, SEM, and analytics.","<p>Marketing professional with <b>1 years</b> of experience in <i>digital campaigns</i>, <i>SEM</i>, and <i>analytics</i>.</p>",Marketing
869,"Mechanical Engineer professional with 2 years of experience in manufacturing processes, quality inspection, and CAD tools.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>manufacturing processes</i>, <i>quality inspection</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
870,"Mechanical Engineer professional with 4 years of experience in quality inspection, SolidWorks, and CAD tools.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>quality inspection</i>, <i>SolidWorks</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
871,"Marketing professional with 3 years of experience in social media, SEM, and SEO.","<p>Marketing professional with <b>3 years</b> of experience in <i>social media</i>, <i>SEM</i>, and <i>SEO</i>.</p>",Marketing
872,"Mechanical Engineer professional with 3 years of experience in thermodynamics, CAD tools, and SolidWorks.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>thermodynamics</i>, <i>CAD tools</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
873,"Mechanical Engineer professional with 3 years of experience in AutoCAD, CAD tools, and manufacturing processes.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>AutoCAD</i>, <i>CAD tools</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
874,"Software Engineer professional with 3 years of experience in backend development, Node.js, and Python.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>backend development</i>, <i>Node.js</i>, and <i>Python</i>.</p>",Software Engineer
875,"Marketing professional with 1 years of experience in social media, content creation, and digital campaigns.","<p>Marketing professional with <b>1 years</b> of experience in <i>social media</i>, <i>content creation</i>, and <i>digital campaigns</i>.</p>",Marketing
876,"Business Analyst professional with 3 years of experience in data interpretation, Excel, and Power BI.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>data interpretation</i>, <i>Excel</i>, and <i>Power BI</i>.</p>",Business Analyst
877,"Business Analyst professional with 4 years of experience in SQL, Excel, and data interpretation.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>SQL</i>, <i>Excel</i>, and <i>data interpretation</i>.</p>",Business Analyst
878,"Business Analyst professional with 3 years of experience in Excel, Power BI, and client communication.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>Excel</i>, <i>Power BI</i>, and <i>client communication</i>.</p>",Business Analyst
879,"Software Engineer professional with 1 years of experience in Java, MongoDB, and Python.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>Java</i>, <i>MongoDB</i>, and <i>Python</i>.</p>",Software Engineer
880,"Mechanical Engineer professional with 4 years of experience in thermodynamics, CAD tools, and AutoCAD.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>thermodynamics</i>, <i>CAD tools</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
881,"Business Analyst professional with 3 years of experience in Excel, Power BI, and data interpretation.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>Excel</i>, <i>Power BI</i>, and <i>data interpretation</i>.</p>",Business Analyst
882,"HR professional with 1 years of experience in conflict resolution, HR policies, and onboarding.","<p>HR professional with <b>1 years</b> of experience in <i>conflict resolution</i>, <i>HR policies</i>, and <i>onboarding</i>.</p>",HR
883,"Marketing professional with 2 years of experience in SEO, social media, and content creation.","<p>Marketing professional with <b>2 years</b> of experience in <i>SEO</i>, <i>social media</i>, and <i>content creation</i>.</p>",Marketing
884,"Software Engineer professional with 7 years of experience in backend development, Java, and Node.js.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>backend development</i>, <i>Java</i>, and <i>Node.js</i>.</p>",Software Engineer
885,"Mechanical Engineer professional with 1 years of experience in thermodynamics, SolidWorks, and manufacturing processes.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>thermodynamics</i>, <i>SolidWorks</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
886,"Marketing professional with 2 years of experience in content creation, SEM, and analytics.","<p>Marketing professional with <b>2 years</b> of experience in <i>content creation</i>, <i>SEM</i>, and <i>analytics</i>.</p>",Marketing
887,"Business Analyst professional with 7 years of experience in data interpretation, client communication, and Excel.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>data interpretation</i>, <i>client communication</i>, and <i>Excel</i>.</p>",Business Analyst
888,"Mechanical Engineer professional with 2 years of experience in thermodynamics, AutoCAD, and manufacturing processes.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>thermodynamics</i>, <i>AutoCAD</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
889,"Software Engineer professional with 7 years of experience in MongoDB, data structures, and Java.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>MongoDB</i>, <i>data structures</i>, and <i>Java</i>.</p>",Software Engineer
890,"HR professional with 5 years of experience in onboarding, recruitment, and HR policies.","<p>HR professional with <b>5 years</b> of experience in <i>onboarding</i>, <i>recruitment</i>, and <i>HR policies</i>.</p>",HR
891,"Marketing professional with 2 years of experience in digital campaigns, social media, and analytics.","<p>Marketing professional with <b>2 years</b> of experience in <i>digital campaigns</i>, <i>social media</i>, and <i>analytics</i>.</p>",Marketing
892,"Business Analyst professional with 5 years of experience in SQL, client communication, and Excel.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>SQL</i>, <i>client communication</i>, and <i>Excel</i>.</p>",Business Analyst
893,"HR professional with 7 years of experience in employee engagement, recruitment, and talent acquisition.","<p>HR professional with <b>7 years</b> of experience in <i>employee engagement</i>, <i>recruitment</i>, and <i>talent acquisition</i>.</p>",HR
894,"Software Engineer professional with 4 years of experience in MongoDB, Python, and data structures.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>MongoDB</i>, <i>Python</i>, and <i>data structures</i>.</p>",Software Engineer
895,"Business Analyst professional with 2 years of experience in data interpretation, dashboard reporting, and client communication.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>data interpretation</i>, <i>dashboard reporting</i>, and <i>client communication</i>.</p>",Business Analyst
896,"Business Analyst professional with 3 years of experience in Power BI, client communication, and data interpretation.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>Power BI</i>, <i>client communication</i>, and <i>data interpretation</i>.</p>",Business Analyst
897,"Mechanical Engineer professional with 1 years of experience in thermodynamics, CAD tools, and quality inspection.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>thermodynamics</i>, <i>CAD tools</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
898,"HR professional with 7 years of experience in HR policies, onboarding, and recruitment.","<p>HR professional with <b>7 years</b> of experience in <i>HR policies</i>, <i>onboarding</i>, and <i>recruitment</i>.</p>",HR
899,"Software Engineer professional with 3 years of experience in data structures, Python, and algorithms.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>data structures</i>, <i>Python</i>, and <i>algorithms</i>.</p>",Software Engineer
900,"Mechanical Engineer professional with 7 years of experience in manufacturing processes, thermodynamics, and quality inspection.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>manufacturing processes</i>, <i>thermodynamics</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
901,"Marketing professional with 3 years of experience in SEM, content creation, and digital campaigns.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEM</i>, <i>content creation</i>, and <i>digital campaigns</i>.</p>",Marketing
902,"Business Analyst professional with 3 years of experience in dashboard reporting, data interpretation, and Power BI.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>dashboard reporting</i>, <i>data interpretation</i>, and <i>Power BI</i>.</p>",Business Analyst
903,"Business Analyst professional with 1 years of experience in SQL, Power BI, and dashboard reporting.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>SQL</i>, <i>Power BI</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
904,"Business Analyst professional with 2 years of experience in client communication, Excel, and dashboard reporting.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>client communication</i>, <i>Excel</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
905,"HR professional with 1 years of experience in HR policies, employee engagement, and conflict resolution.","<p>HR professional with <b>1 years</b> of experience in <i>HR policies</i>, <i>employee engagement</i>, and <i>conflict resolution</i>.</p>",HR
906,"Mechanical Engineer professional with 2 years of experience in AutoCAD, SolidWorks, and CAD tools.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>AutoCAD</i>, <i>SolidWorks</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
907,"Business Analyst professional with 7 years of experience in dashboard reporting, Excel, and client communication.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>dashboard reporting</i>, <i>Excel</i>, and <i>client communication</i>.</p>",Business Analyst
908,"HR professional with 3 years of experience in recruitment, onboarding, and HR policies.","<p>HR professional with <b>3 years</b> of experience in <i>recruitment</i>, <i>onboarding</i>, and <i>HR policies</i>.</p>",HR
909,"Mechanical Engineer professional with 7 years of experience in CAD tools, AutoCAD, and manufacturing processes.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>CAD tools</i>, <i>AutoCAD</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
910,"Marketing professional with 3 years of experience in SEO, content creation, and digital campaigns.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEO</i>, <i>content creation</i>, and <i>digital campaigns</i>.</p>",Marketing
911,"HR professional with 3 years of experience in employee engagement, conflict resolution, and HR policies.","<p>HR professional with <b>3 years</b> of experience in <i>employee engagement</i>, <i>conflict resolution</i>, and <i>HR policies</i>.</p>",HR
912,"Mechanical Engineer professional with 2 years of experience in thermodynamics, manufacturing processes, and CAD tools.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>thermodynamics</i>, <i>manufacturing processes</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
913,"HR professional with 2 years of experience in employee engagement, talent acquisition, and HR policies.","<p>HR professional with <b>2 years</b> of experience in <i>employee engagement</i>, <i>talent acquisition</i>, and <i>HR policies</i>.</p>",HR
914,"Business Analyst professional with 5 years of experience in client communication, SQL, and Power BI.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>client communication</i>, <i>SQL</i>, and <i>Power BI</i>.</p>",Business Analyst
915,"Mechanical Engineer professional with 4 years of experience in thermodynamics, quality inspection, and manufacturing processes.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>thermodynamics</i>, <i>quality inspection</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
916,"HR professional with 3 years of experience in talent acquisition, conflict resolution, and employee engagement.","<p>HR professional with <b>3 years</b> of experience in <i>talent acquisition</i>, <i>conflict resolution</i>, and <i>employee engagement</i>.</p>",HR
917,"Mechanical Engineer professional with 2 years of experience in CAD tools, quality inspection, and SolidWorks.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>CAD tools</i>, <i>quality inspection</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
918,"Mechanical Engineer professional with 6 years of experience in CAD tools, AutoCAD, and SolidWorks.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>CAD tools</i>, <i>AutoCAD</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
919,"HR professional with 6 years of experience in onboarding, employee engagement, and talent acquisition.","<p>HR professional with <b>6 years</b> of experience in <i>onboarding</i>, <i>employee engagement</i>, and <i>talent acquisition</i>.</p>",HR
920,"HR professional with 4 years of experience in talent acquisition, employee engagement, and HR policies.","<p>HR professional with <b>4 years</b> of experience in <i>talent acquisition</i>, <i>employee engagement</i>, and <i>HR policies</i>.</p>",HR
921,"Software Engineer professional with 6 years of experience in backend development, Java, and MongoDB.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>backend development</i>, <i>Java</i>, and <i>MongoDB</i>.</p>",Software Engineer
922,"Marketing professional with 6 years of experience in analytics, SEO, and SEM.","<p>Marketing professional with <b>6 years</b> of experience in <i>analytics</i>, <i>SEO</i>, and <i>SEM</i>.</p>",Marketing
923,"Mechanical Engineer professional with 3 years of experience in thermodynamics, AutoCAD, and manufacturing processes.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>thermodynamics</i>, <i>AutoCAD</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
924,"Mechanical Engineer professional with 7 years of experience in CAD tools, AutoCAD, and SolidWorks.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>CAD tools</i>, <i>AutoCAD</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
925,"HR professional with 7 years of experience in talent acquisition, onboarding, and recruitment.","<p>HR professional with <b>7 years</b> of experience in <i>talent acquisition</i>, <i>onboarding</i>, and <i>recruitment</i>.</p>",HR
926,"HR professional with 4 years of experience in employee engagement, conflict resolution, and HR policies.","<p>HR professional with <b>4 years</b> of experience in <i>employee engagement</i>, <i>conflict resolution</i>, and <i>HR policies</i>.</p>",HR
927,"Software Engineer professional with 1 years of experience in Java, backend development, and algorithms.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>Java</i>, <i>backend development</i>, and <i>algorithms</i>.</p>",Software Engineer
928,"Business Analyst professional with 6 years of experience in client communication, Excel, and data interpretation.","<p>Business Analyst professional with <b>6 years</b> of experience in <i>client communication</i>, <i>Excel</i>, and <i>data interpretation</i>.</p>",Business Analyst
929,"HR professional with 5 years of experience in HR policies, employee engagement, and onboarding.","<p>HR professional with <b>5 years</b> of experience in <i>HR policies</i>, <i>employee engagement</i>, and <i>onboarding</i>.</p>",HR
930,"Mechanical Engineer professional with 3 years of experience in quality inspection, manufacturing processes, and SolidWorks.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>quality inspection</i>, <i>manufacturing processes</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
931,"Business Analyst professional with 6 years of experience in Excel, client communication, and data interpretation.","<p>Business Analyst professional with <b>6 years</b> of experience in <i>Excel</i>, <i>client communication</i>, and <i>data interpretation</i>.</p>",Business Analyst
932,"HR professional with 3 years of experience in recruitment, onboarding, and talent acquisition.","<p>HR professional with <b>3 years</b> of experience in <i>recruitment</i>, <i>onboarding</i>, and <i>talent acquisition</i>.</p>",HR
933,"Business Analyst professional with 4 years of experience in SQL, data interpretation, and Power BI.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>SQL</i>, <i>data interpretation</i>, and <i>Power BI</i>.</p>",Business Analyst
934,"Mechanical Engineer professional with 3 years of experience in SolidWorks, quality inspection, and manufacturing processes.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>SolidWorks</i>, <i>quality inspection</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
935,"HR professional with 6 years of experience in employee engagement, onboarding, and conflict resolution.","<p>HR professional with <b>6 years</b> of experience in <i>employee engagement</i>, <i>onboarding</i>, and <i>conflict resolution</i>.</p>",HR
936,"Marketing professional with 3 years of experience in content creation, digital campaigns, and SEO.","<p>Marketing professional with <b>3 years</b> of experience in <i>content creation</i>, <i>digital campaigns</i>, and <i>SEO</i>.</p>",Marketing
937,"Mechanical Engineer professional with 3 years of experience in thermodynamics, manufacturing processes, and AutoCAD.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>thermodynamics</i>, <i>manufacturing processes</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
938,"Marketing professional with 1 years of experience in digital campaigns, social media, and content creation.","<p>Marketing professional with <b>1 years</b> of experience in <i>digital campaigns</i>, <i>social media</i>, and <i>content creation</i>.</p>",Marketing
939,"Marketing professional with 2 years of experience in social media, digital campaigns, and SEO.","<p>Marketing professional with <b>2 years</b> of experience in <i>social media</i>, <i>digital campaigns</i>, and <i>SEO</i>.</p>",Marketing
940,"Mechanical Engineer professional with 1 years of experience in thermodynamics, quality inspection, and AutoCAD.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>thermodynamics</i>, <i>quality inspection</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
941,"Marketing professional with 6 years of experience in social media, SEO, and analytics.","<p>Marketing professional with <b>6 years</b> of experience in <i>social media</i>, <i>SEO</i>, and <i>analytics</i>.</p>",Marketing
942,"HR professional with 2 years of experience in employee engagement, conflict resolution, and HR policies.","<p>HR professional with <b>2 years</b> of experience in <i>employee engagement</i>, <i>conflict resolution</i>, and <i>HR policies</i>.</p>",HR
