ID,JobDescription,Department
8951,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
8952,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
8953,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
8954,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
8955,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
8956,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
8957,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
8958,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
8959,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
8960,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
8961,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
8962,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
8963,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
8964,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
8965,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
8966,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
8967,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
8968,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
8969,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
8970,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
8971,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
8972,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
8973,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
8974,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
8975,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
8976,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
8977,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
8978,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
8979,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
8980,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
8981,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
8982,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
8983,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
8984,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
8985,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
8986,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
8987,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
8988,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
8989,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
8990,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
8991,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
8992,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
8993,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
8994,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
8995,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
8996,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
8997,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
8998,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
8999,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9000,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9001,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9002,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9003,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9004,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
9005,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
9006,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9007,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9008,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9009,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
9010,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9011,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9012,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
9013,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9014,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9015,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9016,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9017,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9018,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9019,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9020,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9021,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9022,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
9023,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
9024,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9025,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9026,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9027,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9028,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9029,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9030,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9031,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9032,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9033,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9034,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9035,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9036,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9037,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9038,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9039,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9040,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9041,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9042,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9043,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9044,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9045,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9046,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9047,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9048,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9049,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
9050,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9051,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9052,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9053,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9054,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9055,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9056,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9057,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9058,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9059,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9060,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9061,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9062,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9063,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9064,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9065,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9066,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9067,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
9068,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9069,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9070,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9071,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9072,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9073,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9074,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9075,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9076,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9077,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9078,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9079,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9080,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9081,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
9082,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9083,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9084,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9085,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9086,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9087,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9088,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9089,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9090,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9091,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
9092,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9093,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9094,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9095,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9096,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9097,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9098,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9099,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9100,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9101,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9102,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
9103,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
9104,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9105,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9106,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9107,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9108,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9109,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9110,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9111,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9112,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9113,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9114,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9115,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9116,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9117,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9118,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
9119,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9120,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9121,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
9122,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9123,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9124,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9125,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9126,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9127,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9128,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9129,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9130,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9131,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9132,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
9133,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9134,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
9135,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
9136,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9137,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9138,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9139,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
9140,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
9141,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9142,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9143,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
9144,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9145,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9146,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9147,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9148,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9149,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9150,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9151,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9152,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9153,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9154,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9155,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9156,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9157,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9158,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9159,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9160,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9161,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9162,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9163,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9164,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9165,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9166,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9167,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9168,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9169,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9170,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9171,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9172,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
9173,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9174,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9175,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9176,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9177,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
9178,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9179,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9180,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9181,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
9182,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9183,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
9184,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9185,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
9186,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9187,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9188,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9189,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9190,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9191,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9192,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9193,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9194,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9195,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9196,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9197,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9198,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
9199,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
9200,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9201,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9202,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9203,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
9204,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9205,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9206,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9207,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
9208,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9209,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9210,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9211,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9212,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9213,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9214,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9215,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9216,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9217,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
9218,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9219,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
9220,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9221,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
9222,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9223,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9224,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9225,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9226,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9227,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9228,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9229,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9230,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9231,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9232,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9233,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
9234,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9235,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
9236,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
9237,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
9238,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
9239,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
9240,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
9241,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
9242,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
9243,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
9244,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
9245,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
